year,events,target_known,ncei_accepted,footprint_accepted,ncei_unresolved_candidates,footprint_unresolved_candidates,county_context_missing,start_longitude_missing,start_latitude_missing,month_missing,hour_utc_missing,radar_tvs_count_missing,radar_tvs_count_positive,radar_mda_count_missing,radar_mda_count_positive,radar_structure_count_missing,radar_structure_count_positive,radar_max_shear_per_s_missing,radar_max_velocity_difference_knots_missing,radar_max_rotation_velocity_knots_missing,radar_max_reflectivity_dbz_missing,radar_max_vil_kg_m2_missing,warning_active_tornado_count_missing,warning_active_tornado_count_positive,warning_active_severe_count_missing,warning_active_severe_count_positive,warning_tornado_lead_minutes_missing,post_land_developed_fraction_missing,post_land_forest_fraction_missing,post_land_cropland_fraction_missing,post_impervious_mean_percent_missing,post_nlcd_valid_fraction_missing,nlcd_zero_pixel_centers,nlcd_no_valid_class_pixels,area_method_fixed_buffer_of_reported_endpoint_track,area_method_union_of_accepted_footprints,nlcd_complete,nlcd_unavailable,nlcd_failed,nlcd_budget_exceeded,nlcd_not_requested,radar_complete,radar_unavailable,radar_failed,radar_budget_exceeded,radar_not_requested,warnings_complete,warnings_unavailable,warnings_failed,warnings_budget_exceeded,warnings_not_requested
2010,1302,1.0,0.8840245775729647,0.7211981566820277,0.15898617511520738,0.16589861751152074,0.0,0.0,0.0,0.0,0.0,0.0,0.3579109062980031,0.0,0.7188940092165899,0.0,0.9754224270353302,0.642089093701997,0.642089093701997,0.28110599078341014,0.02457757296466974,0.02457757296466974,0.0,0.6482334869431644,0.0,0.34408602150537637,0.35253456221198154,0.007680491551459293,0.007680491551459293,0.007680491551459293,0.007680491551459293,0.007680491551459293,0.007680491551459293,0.007680491551459293,0.27880184331797236,0.7211981566820277,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,1704,1.0,0.9019953051643192,0.7400234741784038,0.1414319248826291,0.16666666666666666,0.0005868544600938967,0.0,0.0,0.0,0.0,0.0,0.36795774647887325,0.0,0.8333333333333334,0.0,0.9653755868544601,0.6320422535211268,0.6320422535211268,0.16666666666666666,0.034624413145539906,0.034624413145539906,0.0,0.6954225352112676,0.0,0.3779342723004695,0.3045774647887324,0.009389671361502348,0.009389671361502348,0.009389671361502348,0.009389671361502348,0.009389671361502348,0.008215962441314555,0.008215962441314555,0.25997652582159625,0.7400234741784038,0.9988262910798122,0.0011737089201877935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012,948,1.0,0.9145569620253164,0.8016877637130801,0.1149789029535865,0.1149789029535865,0.0010548523206751054,0.0,0.0,0.0,0.0,0.0,0.370253164556962,0.0,0.7584388185654009,0.0,0.9683544303797469,0.629746835443038,0.629746835443038,0.24156118143459915,0.03164556962025317,0.03164556962025317,0.0,0.6107594936708861,0.0,0.3575949367088608,0.38924050632911394,0.013713080168776372,0.013713080168776372,0.013713080168776372,0.013713080168776372,0.013713080168776372,0.011603375527426161,0.011603375527426161,0.19831223628691982,0.8016877637130801,0.9978902953586498,0.002109704641350211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,916,1.0,0.9279475982532751,0.6615720524017468,0.10698689956331878,0.18013100436681223,0.001091703056768559,0.0,0.0,0.0,0.0,0.0,0.2292576419213974,0.0,0.5851528384279476,0.0,0.740174672489083,0.7707423580786026,0.7707423580786026,0.4148471615720524,0.259825327510917,0.259825327510917,0.0,0.5229257641921398,0.0,0.4606986899563319,0.47707423580786024,0.012008733624454149,0.012008733624454149,0.012008733624454149,0.012008733624454149,0.012008733624454149,0.010917030567685589,0.010917030567685589,0.3384279475982533,0.6615720524017468,0.9989082969432315,0.001091703056768559,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014,928,1.0,0.8976293103448276,0.6573275862068966,0.14224137931034483,0.2122844827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.0,0.7122844827586207,0.0,0.9040948275862069,0.65625,0.65625,0.28771551724137934,0.09590517241379311,0.09590517241379311,0.0,0.4676724137931034,0.0,0.4558189655172414,0.5323275862068966,0.00646551724137931,0.00646551724137931,0.00646551724137931,0.00646551724137931,0.00646551724137931,0.00646551724137931,0.00646551724137931,0.3426724137931034,0.6573275862068966,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015,1182,1.0,0.9120135363790186,0.6057529610829103,0.12098138747884941,0.2639593908629442,0.0,0.0,0.0,0.0,0.0,0.0,0.3536379018612521,0.0,0.7292724196277496,0.0,0.9585448392554992,0.6463620981387479,0.6463620981387479,0.2707275803722504,0.04145516074450085,0.04145516074450085,0.0,0.5355329949238579,0.0,0.4170896785109983,0.46446700507614214,0.012690355329949238,0.012690355329949238,0.012690355329949238,0.012690355329949238,0.012690355329949238,0.011844331641285956,0.011844331641285956,0.3942470389170897,0.6057529610829103,0.9991539763113367,0.0008460236886632825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016,976,0.9682377049180327,0.9364754098360656,0.6649590163934426,0.0942622950819672,0.21311475409836064,0.0010245901639344263,0.0,0.0,0.0,0.0,0.0,0.3012295081967213,0.0,0.6670081967213115,0.0,0.8862704918032787,0.6987704918032787,0.6987704918032787,0.33299180327868855,0.11372950819672131,0.11372950819672131,0.0,0.5338114754098361,0.0,0.382172131147541,0.4661885245901639,0.018442622950819672,0.018442622950819672,0.018442622950819672,0.018442622950819672,0.018442622950819672,0.017418032786885244,0.017418032786885244,0.3350409836065574,0.6649590163934426,0.9989754098360656,0.0010245901639344263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017,1442,0.9542302357836339,0.9230235783633842,0.644244105409154,0.10194174757281553,0.2524271844660194,0.0006934812760055479,0.0,0.0,0.0,0.0,0.0,0.3751733703190014,0.0,0.7843273231622746,0.0,0.9576976421636616,0.6248266296809986,0.6248266296809986,0.21567267683772537,0.04230235783633842,0.04230235783633842,0.0,0.5006934812760055,0.0,0.4722607489597781,0.49930651872399445,0.013176144244105409,0.013176144244105409,0.013176144244105409,0.013176144244105409,0.013176144244105409,0.012482662968099861,0.012482662968099861,0.35575589459084606,0.644244105409154,0.9993065187239945,0.0006934812760055479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,1138,0.9850615114235501,0.9173989455184535,0.6652021089630932,0.0984182776801406,0.23637961335676624,0.0,0.0,0.0,0.0,0.0,0.0,0.28734622144112476,0.0,0.6810193321616872,0.0,0.953427065026362,0.7126537785588752,0.7126537785588752,0.3189806678383128,0.04657293497363796,0.04657293497363796,0.0,0.5219683655536028,0.0,0.43321616871704743,0.4780316344463972,0.0210896309314587,0.0210896309314587,0.0210896309314587,0.0210896309314587,0.0210896309314587,0.0210896309314587,0.0210896309314587,0.3347978910369069,0.6652021089630932,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019,1534,0.8794002607561929,0.9185136897001304,0.6779661016949152,0.11082138200782268,0.21577574967405475,0.001955671447196871,0.0,0.0,0.0,0.0,0.0,0.3728813559322034,0.0,0.7796610169491526,0.0,0.9569752281616688,0.6271186440677966,0.6271186440677966,0.22033898305084745,0.04302477183833116,0.04302477183833116,0.0,0.5651890482398957,0.0,0.5026075619295959,0.4348109517601043,0.018252933507170794,0.018252933507170794,0.018252933507170794,0.018252933507170794,0.018252933507170794,0.016297262059973925,0.016297262059973925,0.3220338983050847,0.6779661016949152,0.9980443285528031,0.001955671447196871,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
